"Feature.ID","Feature.Name","Feature.Class","wt_rep_1","wt_rep_2","piwi_rep_1","piwi_rep_2"
"Gene:WBGene00000098","K07C11.2, air-1","ALG",1.5,0,9,8.5
"Gene:WBGene00000099","B0207.4, air-2","CSR",1742,1668,460,543
"Gene:WBGene00000100","C25A11.4, ajm-1","unk",568.46,820.14,543.02,702.74
"Gene:WBGene00000101","D1022.7, aka-1","CSR",582.62,713.23,297.73,369.1
"Gene:WBGene00000102","C12D8.10, akt-1","CSR",380,438.5,218,272
"Gene:WBGene00000103","F28H6.1, akt-2","unk",67.58,72.76,3.58,23.43
"Gene:WBGene00000105","F48F7.1, alg-1","WAGO",225.5,247,44,46
"Gene:WBGene00000106","T07D3.7, alg-2","CSR",249.29,226.74,202.17,258.25
"Gene:WBGene00000107","F54D8.3, alh-1","CSR",129,139,87,95
"Gene:WBGene00000108","K04F1.15, alh-2","unk",2.74,2.5,1.15,1.5
"Gene:WBGene00000109","F36H1.6, alh-3","CSR",1049,1185,812,1050
"Gene:WBGene00000110","T05H4.13, alh-4","unk",894.17,1081.67,407.17,560.33
"Gene:WBGene00000111","T08B1.3, alh-5","unk",118.76,108.44,3.69,3.27
"Gene:WBGene00000112","F56D12.1, alh-6","unk",1131.66,1045.5,311.78,361.32
"Gene:WBGene00000113","F45H10.1, alh-7","unk",738,1117.04,90771.73,119090.23
"Gene:WBGene00000114","F13D12.4, alh-8","ALG",1.5,0,4,6
"Gene:WBGene00000115","F01F1.6, alh-9","CSR",2613,2604,1862,2275
"Gene:WBGene00000116","C54D1.4, alh-10","unk",5,5,8,9
"Gene:WBGene00000117","F42G9.5, alh-11","unk",216.96,317.9,229.88,278.48
"Gene:WBGene00000118","Y69F12A.2, alh-12","unk",9,5,9,10.07
"Gene:WBGene00000120","C01F6.5, aly-1","unk",52,46.09,18,14
"Gene:WBGene00000121","F23B2.6, aly-2","CSR",353,464,118,143
"Gene:WBGene00000122","M18.7, aly-3","CSR",578,588,472,613
"Gene:WBGene00000123","F36A4.7, ama-1","CSR",5027,4913,3372,4460
"Gene:WBGene00000133","C05E11.4, amt-1","unk",0.5,1.17,7,2
"Gene:WBGene00000134","F49E11.3, amt-2","unk",76.69,75.79,54.4,67.02
"Gene:WBGene00000135","M195.3, amt-3","unk",0.3,1.67,1.5,0
"Gene:WBGene00000136","C05E11.5, amt-4","unk",17.56,10.25,9.5,11.5
"Gene:WBGene00000137","R13G10.2, amx-1","CSR",25,33,15,10
"Gene:WBGene00000138","B0019.1, amx-2","unk",37.84,35.37,12.6,18.07
"Gene:WBGene00000139","F25C8.2, amx-3","unk",30.83,30.5,19.32,18.47
"Gene:WBGene00000140","ZK973.6, anc-1","WAGO",3683.92,3922.25,1184.08,1562.75
"Gene:WBGene00000142","C08B6.9, aos-1","CSR",305.49,273.69,248.69,259.14
"Gene:WBGene00000143","K06H7.6, apc-2","CSR",328,310,223,321
"Gene:WBGene00000144","F15H10.3, apc-10","CSR",156,200,115,129
"Gene:WBGene00000145","F35G12.9, apc-11","CSR",88,127,88,190
"Gene:WBGene00000146","F46F3.4, ape-1","CSR",690,652,427,508
"Gene:WBGene00000147","VF36H2L.1, aph-1","unk",387,366,147.06,223.56
"Gene:WBGene00000148","ZC434.6, aph-2","CSR",299.22,295.14,164.5,241
"Gene:WBGene00000149","C42D8.8, apl-1","unk",13,23.5,22.06,14.2
"Gene:WBGene00000150","F55A12.7, apm-1","ALG",0,0,5,4
"Gene:WBGene00000151","T05H10.2, apn-1","CSR",528,572,368,484
"Gene:WBGene00000155","W03G9.4, app-1","CSR",1224,1042,737,867
"Gene:WBGene00000156","K04G2.8, apr-1","CSR",1285,1342.5,828.5,1009.5
"Gene:WBGene00000157","F02E8.3, aps-2","unk",153,154.5,75,95
"Gene:WBGene00000158","Y105E8A.9, apg-1","CSR",836.69,822.68,478.96,627.17
"Gene:WBGene00000159","F29G9.3, aps-1","unk",368.5,438,193.5,324
"Gene:WBGene00000160","Y71H2B.10, apb-1","CSR",585.25,602.17,249.01,302.53
"Gene:WBGene00000161","T20B5.1, apa-2","CSR",103,109,91,109
"Gene:WBGene00000162","W09G10.4, apd-3","CSR",561.25,569.78,322.03,382.25
"Gene:WBGene00000163","R11A5.1, apb-3","CSR",339,354,80,109
"Gene:WBGene00000164","F53H8.1, apm-3","unk",30,28,37.02,40
"Gene:WBGene00000165","Y48G8AL.14, aps-3","unk",182.85,184.62,171,230.65
"Gene:WBGene00000166","W04G3.4, apt-9","unk",4.1,2.5,0,0.67
"Gene:WBGene00000168","K08D9.3, apx-1","CSR",219.64,181.78,156.32,246.32
"Gene:WBGene00000169","F32A5.5, aqp-1","unk",11.5,20,8.33,8.5
"Gene:WBGene00000170","C01G6.1, aqp-2","unk",16,25.14,4,4.01
"Gene:WBGene00000171","Y69E1A.7, aqp-3","unk",1.42,2.26,3.97,3.53
"Gene:WBGene00000172","F40F9.9, aqp-4","unk",28,33.5,18,16.5
"Gene:WBGene00000173","C35A5.1, aqp-5","unk",0.5,0,0,0
"Gene:WBGene00000174","C32C4.2, aqp-6","unk",4.15,3,2.43,2.43
"Gene:WBGene00000175","M02F4.8, aqp-7","unk",75,58,17,16.5
"Gene:WBGene00000176","K02G10.7, aqp-8","unk",2,2,3,2
"Gene:WBGene00000177","K07A1.16, aqp-9","WAGO",526.61,446.75,5.22,3.38
"Gene:WBGene00000178","ZK1321.3, aqp-10","WAGO",203,180,9,6
"Gene:WBGene00000179","ZK525.2, aqp-11","unk",10,14.4,15,30
"Gene:WBGene00000180","ZK1320.6, arc-1","unk",7,8.5,4,7
"Gene:WBGene00000181","F01G4.2, ard-1","CSR",51.3,73,44.36,85.09
"Gene:WBGene00000182","B0336.2, arf-1","ALG",559.5,593.5,687,1008.5
"Gene:WBGene00000183","F57H12.1, arf-5","CSR",433,489.5,260,320
"Gene:WBGene00000184","Y116A8C.12, arf-6","CSR",248,312,167,209
"Gene:WBGene00000185","F31A9.3, arg-1","unk",30,33,39,62
"Gene:WBGene00000186","C01C7.1, ark-1","unk",1734.63,1737.99,441.7,606.97
"Gene:WBGene00000187","F54C9.10, arl-1","ALG",0,1,1,6
"Gene:WBGene00000188","F19H8.3, arl-3","unk",2.65,3.41,0.51,0
"Gene:WBGene00000189","ZK632.8, arl-5","CSR",37,43,17,22.5
"Gene:WBGene00000190","F45E4.1, warf-1","unk",15,14.5,13,19.75
"Gene:WBGene00000191","F20D1.5, arl-7","unk",9.5,4,19.5,6
"Gene:WBGene00000192","Y57G11C.13, arl-8","unk",565.5,668.5,309,428.17
"Gene:WBGene00000193","C38D4.8, arl-6","unk",2.5,6,0.5,2
"Gene:WBGene00000195","F53H8.2, arr-1","CSR",59,81,34,42
"Gene:WBGene00000196","W02B12.6, aars-1","unk",1153.57,1086.84,282.5,322.98
"Gene:WBGene00000197","F28H1.3, aars-2","CSR",6213,6222,3991,5386
"Gene:WBGene00000198","C15F1.6, art-1","ALG",1,1,10,5
"Gene:WBGene00000199","Y71F9AL.16, arx-1","CSR",332.56,303.99,265.88,323.27
"Gene:WBGene00000200","K07C5.1, arx-2","unk",472.37,468.57,127.22,186.48
"Gene:WBGene00000201","Y79H2A.6, arx-3","CSR",329.67,372.3,339.07,407.83
"Gene:WBGene00000202","Y6D11A.1, exos-4.2","unk",497.33,527.02,420.83,588.2
"Gene:WBGene00000203","Y37D8A.1, arx-5","CSR",187,182.5,187,276.5
"Gene:WBGene00000204","C35D10.16, arx-6","CSR",699,835,669,776
"Gene:WBGene00000205","M01B12.3, arx-7","CSR",211,202,197.5,212.5
"Gene:WBGene00000206","F35G12.10, asb-1","CSR",179,157.5,119,166
"Gene:WBGene00000207","F02E8.1, asb-2","WAGO",905,945,36,57
"Gene:WBGene00000208","Y53F4B.15, trip-4","CSR",256.95,245.39,162.34,218.23
"Gene:WBGene00000209","K07A12.3, asg-1","CSR",180,178,130.5,177.5
"Gene:WBGene00000210","C53B7.4, asg-2","unk",288.5,327,41.5,64.5
"Gene:WBGene00000211","B0252.2, asm-1","unk",3.55,7.5,3.5,6.58
"Gene:WBGene00000212","ZK455.4, asm-2","unk",4,1,6.5,8
"Gene:WBGene00000213","W03G1.7, asm-3","unk",86.5,90,2.33,4.08
"Gene:WBGene00000214","Y39B6A.20, asp-1","CSR",11,17,20,23
"Gene:WBGene00000215","T18H9.2, asp-2","unk",15.5,12.83,42.5,36.67
"Gene:WBGene00000216","H22K11.1, asp-3","unk",28,32,50,56.25
"Gene:WBGene00000217","R12H7.2, asp-4","unk",76,89.5,61.5,51.5
"Gene:WBGene00000218","F21F8.3, asp-5","unk",9.5,11,21,17.5
"Gene:WBGene00000219","F21F8.7, asp-6","unk",47.5,51,67.5,71.5
"Gene:WBGene00000220","K08F8.2, atf-2","unk",3,1,3,1.17
"Gene:WBGene00000221","T04C10.4, atf-4","WAGO",1526,1761,139.5,214.5
"Gene:WBGene00000222","F45E6.2, atf-6","WAGO",482,479,206,218
"Gene:WBGene00000223","C07G2.2, atf-7","CSR",616.5,645,506.5,665.83
"Gene:WBGene00000224","F26D10.9, atgp-1","WAGO",382,342,41,27
"Gene:WBGene00000225","C38C6.2, atgp-2","unk",98.34,68.13,38.92,68.78
"Gene:WBGene00000226","T06E4.3, atl-1","CSR",2247.56,2361.48,2051.76,2831.91
"Gene:WBGene00000227","Y48G1BL.2, atm-1","CSR",6820.96,6865.41,6343.68,8205.26
"Gene:WBGene00000228","W04D2.1, atn-1","unk",10.5,13.61,19,13.25
"Gene:WBGene00000229","C34E10.6, atp-2","ALG",774,818,437,594
"Gene:WBGene00000230","F27C1.7, atp-3","ALG",0,1,3,8
"Gene:WBGene00000231","D2045.1, atx-2","CSR",1042.83,1043.83,715.33,1035
"Gene:WBGene00000232","B0207.12, avr-14","unk",55.33,44.54,50.02,76
"Gene:WBGene00000233","R11G10.1, avr-15","unk",64.3,81.64,41,48.02
"Gene:WBGene00000235","B0464.7, baf-1","CSR",154,106,106,126
"Gene:WBGene00000236","F57B10.11, bag-1","unk",623.5,593.5,289.06,434.33
"Gene:WBGene00000237","Y71F9AR.1, bam-2","WAGO",317.75,314.55,24.89,22.6
"Gene:WBGene00000238","C54D1.6, bar-1","unk",32,43.5,49.28,48.62
"Gene:WBGene00000239","C05D2.4, bas-1","unk",6,2,0,8
"Gene:WBGene00000240","K08F8.4, pah-1","unk",17.5,16.43,3.04,5.5
"Gene:WBGene00000241","Y105E8A.5, bbs-1","unk",226.06,187.5,11.82,14.39
"Gene:WBGene00000242","F20D12.3, bbs-2","unk",0.83,1.25,0.12,0.27
"Gene:WBGene00000244","T25F10.5, bbs-8","unk",1.5,0,0,0
"Gene:WBGene00000245","T13C5.5, bca-1","unk",15.08,19.58,34.33,24.46
"Gene:WBGene00000246","M7.3, bcc-1","unk",5.5,5.92,10.5,11.5
"Gene:WBGene00000247","T19E7.3, bec-1","CSR",565,582,761,924
"Gene:WBGene00000248","C54C6.2, ben-1","unk",564.55,521.23,167.13,231.29
"Gene:WBGene00000249","T27F2.3, bir-1","CSR",218,293,211,279
"Gene:WBGene00000250","C50B8.2, bir-2","unk",485.5,453,125,208
"Gene:WBGene00000251","C09G5.6, bli-1","unk",2.43,4.38,2.5,4
"Gene:WBGene00000252","F59E12.12, bli-2","unk",4,0,0.05,6.01
"Gene:WBGene00000253","F56C11.1, bli-3","unk",277.28,311.5,16.35,15.98
"Gene:WBGene00000254","K04F10.4, bli-4","unk",1081.65,1156.52,371.63,504.97
"Gene:WBGene00000255","F45G2.5, bli-5","unk",20.51,13.99,3.17,4.36
"Gene:WBGene00000256","Y73B6BL.34, bli-6","unk",35.17,24.93,58.14,89.68
"Gene:WBGene00000257","F23B12.8, bmk-1","ALG",5371,5304,2250,2825
"Gene:WBGene00000259","F13H8.10, bpl-1","unk",330,320.25,154.75,210.5
"Gene:WBGene00000262","F54B11.6, bra-1","WAGO",652,781,26,53
"Gene:WBGene00000263","F23H11.5","ALG",1,0,2,1
"Gene:WBGene00000264","C36A4.8, brc-1","CSR",904.82,952.59,682.29,975.07
"Gene:WBGene00000265","K04C2.4, brd-1","CSR",615.15,637.83,473.55,613.62
"Gene:WBGene00000266","C53B4.7, bre-1","ALG",0,0,1,2
"Gene:WBGene00000267","Y39E4B.9, bre-2","WAGO",536.53,563.4,12.63,12.33
"Gene:WBGene00000268","B0464.4, bre-3","ALG",0,6,8,13
"Gene:WBGene00000269","Y73E7A.7, bre-4","ALG",0.01,0.03,3.01,7.03
"Gene:WBGene00000270","T12G3.8, bre-5","WAGO",156.5,169.5,19,23
"Gene:WBGene00000271","F45E12.2, brf-1","CSR",811,780.5,661,732
"Gene:WBGene00000272","F56A3.5, bro-1","unk",4,0.67,8,1.33
"Gene:WBGene00000273","Y79H2A.1, brp-1","unk",3.48,16.35,7.2,28.5
"Gene:WBGene00000274","F15D4.1, btf-1","CSR",1899.64,1987.12,1242.29,1545.91
"Gene:WBGene00000275","R06C7.8, bub-1","ALG",3461,3385,2175,3006
"Gene:WBGene00000276","F57B9.5, byn-1","CSR",334,348,327,408.5
"Gene:WBGene00000277","C23H4.1, cab-1","unk",11.92,20.6,11.34,19.54
"Gene:WBGene00000279","F54D8.4, cah-1","unk",37.42,61.97,9.21,26.19
"Gene:WBGene00000280","D1022.8, cah-2","unk",8,7,2.5,3.33
"Gene:WBGene00000281","K05G3.3, cah-3","unk",2.71,2.28,1.23,5.76
"Gene:WBGene00000282","R01E6.3, cah-4","unk",1,3.2,5,3
"Gene:WBGene00000283","R173.1, cah-5","unk",11.06,15.88,4.19,5.03
"Gene:WBGene00000284","T28F2.3, cah-6","unk",14.25,4.11,1,1.01
"Gene:WBGene00000285","C13C12.1, cal-1","unk",3.5,3.75,4.14,5
"Gene:WBGene00000286","C18E9.1, cal-2","unk",8,7,1,0
"Gene:WBGene00000287","M02B7.6, cal-3","unk",10.84,14.39,2.33,4.16
"Gene:WBGene00000288","T07G12.1, cal-4","unk",1.08,4.43,4.17,3.39
"Gene:WBGene00000289","C01G6.8, cam-1","CSR",124.72,157.73,92,119.13
"Gene:WBGene00000292","D2024.6, cap-1","CSR",302,300,377,527
"Gene:WBGene00000293","M106.5, cap-2","CSR",371,362,367,437
"Gene:WBGene00000294","F41G4.2, cas-1","WAGO",269,279,74.5,92
"Gene:WBGene00000295","W01C8.6, cat-1","unk",27.13,38.96,37.84,43.27
"Gene:WBGene00000296","B0432.5, cat-2","unk",6.08,6.52,1,4.22
"Gene:WBGene00000298","F32G8.6, cat-4","unk",8.5,3,10,8.25
"Gene:WBGene00000301","T13F2.8, cav-1","unk",123,103.5,23.33,36
"Gene:WBGene00000302","C56A3.7, cav-2","unk",2,5.08,0,2.02
"Gene:WBGene00000308","C04A11.t1","unk",56.86,76.63,97.54,113.19
"Gene:WBGene00000310","C05C9.t1","unk",29.66,48.38,81.68,99.3
"Gene:WBGene00000311","C05C9.t2","unk",19.58,30.3,53.01,66.91
"Gene:WBGene00000366","R10E11.1, cbp-1","CSR",2042.33,2133.83,1290.33,1558.83
"Gene:WBGene00000367","C54D2.5, cca-1","unk",42.14,28.32,14.05,34.44
"Gene:WBGene00000368","T28F2.5, ccb-1","WAGO",239.34,261.49,43.93,49.9
"Gene:WBGene00000369","Y56A3A.20, ccf-1","CSR",1054.5,1083.5,922,1178
"Gene:WBGene00000370","Y73F8A.6, ccg-1","unk",13.03,6.77,14.5,13.23
"Gene:WBGene00000371","F26E4.9, cox-5B","unk",772.5,713.33,349.5,449.33
"Gene:WBGene00000372","T10B9.10, cyp-13A7","unk",4.25,3.75,1.67,1.84
"Gene:WBGene00000373","F08F3.7, cyp-14A5","unk",0,0,0,2
"Gene:WBGene00000374","C01F6.3, cyp-31A1","unk",438.17,417.42,202.67,242.83
"Gene:WBGene00000375","ZK177.5, cyp-44A1","CSR",123.5,124.33,64,90.83
"Gene:WBGene00000376","ZC518.3, ccr-4","CSR",460,554.51,376.5,513.5
"Gene:WBGene00000377","T05C12.7, cct-1","CSR",1287.5,1216.5,767,1021.5
"Gene:WBGene00000378","T21B10.7, cct-2","CSR",921,961,414,600
"Gene:WBGene00000379","K01C8.10, cct-4","CSR",677,637,367,517
"Gene:WBGene00000380","C07G2.3, cct-5","CSR",338,363,198,248
"Gene:WBGene00000381","F01F1.8, cct-6","unk",1453,1373.5,929.33,1238.33
"Gene:WBGene00000382","C43E11.10, cdc-6","CSR",901,954,908,1209
"Gene:WBGene00000383","C17G10.4, cdc-14","CSR",915,836.5,342,488
"Gene:WBGene00000386","K06A5.7, cdc-25.1","CSR",676,592.5,636.5,793
"Gene:WBGene00000387","F16B4.8, cdc-25.2","WAGO",824.5,899.07,112,107
"Gene:WBGene00000388","ZK637.11, cdc-25.3","CSR",48,58,48,64
"Gene:WBGene00000389","R05H5.2, cdc-25.4","ALG",0,1,10,20
"Gene:WBGene00000390","R07G3.1, cdc-42","CSR",456,373,291.67,336.33
"Gene:WBGene00000391","C47D2.2, cdd-1","unk",8,2.5,0.02,4
"Gene:WBGene00000392","F49E8.4, cdd-2","unk",227,229.83,132.5,191.5
"Gene:WBGene00000393","C15B12.7, cdf-1","WAGO",938,987,13,15
"Gene:WBGene00000395","ZK112.7, cdh-3","unk",57.37,60.59,27.1,37.62
"Gene:WBGene00000396","F25F2.2, cdh-4","ERGO",0,0,0.01,1
"Gene:WBGene00000397","F08B4.2, cdh-5","WAGO",402,424,28,32
"Gene:WBGene00000399","R05H10.6, cdh-7","unk",8.56,7.66,5.58,5.92
"Gene:WBGene00000401","F59C12.1, cdh-9","unk",6.26,7.07,0.9,2.63
"Gene:WBGene00000402","C45G7.5, cdh-10","unk",78.38,87.3,54.38,74.29
"Gene:WBGene00000403","B0034.3, casy-1","unk",33.55,27.63,6.08,7.8
"Gene:WBGene00000405","T05G5.3, cdk-1","ALG",2673,2803,2775,3779
"Gene:WBGene00000406","F18H3.5, cdk-4","CSR",58.65,71.87,32.27,51.42
"Gene:WBGene00000407","T27E9.3, cdk-5","WAGO",228,242,32.5,32
"Gene:WBGene00000408","Y39G10AL.3, cdk-7","CSR",161.97,183.98,142.63,194.36
"Gene:WBGene00000409","F39H11.3, cdk-8","unk",502.57,464.23,193.17,244.5
"Gene:WBGene00000410","H25P06.2, cdk-9","CSR",851.52,768.89,622.97,971.85
"Gene:WBGene00000411","R06F6.1, cdl-1","CSR",948,1011,413,504
"Gene:WBGene00000412","F35E8.11, cdr-1","unk",3,0,0,1
"Gene:WBGene00000413","Y54E10A.15, cdt-1","CSR",809,825,662,881
"Gene:WBGene00000414","ZK1236.2, cec-1","CSR",29,31,30,29
"Gene:WBGene00000415","Y47H9C.4, ced-1","unk",787.77,807.52,588.67,698.81
"Gene:WBGene00000416","Y41D4B.13, ced-2","CSR",814.02,809.52,294.49,363.61
"Gene:WBGene00000417","C48D1.2, ced-3","CSR",657.67,732.08,208.02,312.51
"Gene:WBGene00000418","C35D10.9, ced-4","ALG",769,753,612,704
"Gene:WBGene00000419","C02F4.1, ced-5","CSR",876.45,914.39,626.04,797.07
"Gene:WBGene00000420","F56D2.7, ced-6","CSR",191,172,107,129
"Gene:WBGene00000421","C48B4.4, ced-7","unk",1011.36,1038.59,589.72,717.08
"Gene:WBGene00000422","F08F1.5, ced-8","unk",236.39,260.93,17.19,13.57
"Gene:WBGene00000423","T07C4.8, ced-9","CSR",427.91,393.06,252.14,328.78
"Gene:WBGene00000424","C09G12.8, ced-10","CSR",697,654.5,412.67,459.83
"Gene:WBGene00000425","ZK512.3, ced-11","unk",3.25,8,2.67,2
"Gene:WBGene00000426","Y106G6E.5, ced-12","ALG",211,238,113,144
"Gene:WBGene00000427","R09F10.9, ced-13","unk",1,2,0,0
"Gene:WBGene00000428","F16H11.4, ceh-1","unk",0,2,0,2
"Gene:WBGene00000429","C27A12.5, ceh-2","unk",43.88,26.55,2.04,8.07
"Gene:WBGene00000430","C16C2.1, ceh-5","unk",12,13,4.5,11.5
"Gene:WBGene00000431","K02B12.1, ceh-6","unk",4.75,2.64,3.26,4.02
"Gene:WBGene00000432","C34C6.8, ceh-7","unk",1,2.52,0,1
"Gene:WBGene00000433","ZK265.4, ceh-8","unk",256.4,379.88,205.03,331.16
